	Motif_ID	TF_Names
112	M00220_2.00	Snai2
113	M00221_2.00	Snai2
114	M00222_2.00	Snai2
115	M00224_2.00	Klf1;Klf12;Klf2;Klf3;Klf4;Klf5;Klf6;Klf7;Klf8
116	M00226_2.00	Klf1;Klf12;Klf2;Klf3;Klf4;Klf5;Klf6;Klf7;Klf8
117	M00227_2.00	Bcl6
118	M00228_2.00	Bcl6
119	M00231_2.00	Egr1;Egr2;Egr3
120	M00232_2.00	Egr1;Egr2;Egr3;Egr4
121	M00233_2.00	Egr1;Egr2;Egr3;Egr4
122	M00234_2.00	Ovol2
123	M00235_2.00	Ovol2
124	M00236_2.00	Gfi1;Gfi1b
125	M00237_2.00	Gfi1
126	M00238_2.00	Gfi1;Gfi1b
127	M00239_2.00	Gfi1;Gfi1b
128	M00240_2.00	Gfi1;Gfi1b
129	M00241_2.00	Klf10;Klf11
130	M00242_2.00	Klf10;Klf11
131	M00243_2.00	Wt1
132	M00244_2.00	Wt1
133	M00245_2.00	Wt1
134	M00246_2.00	Wt1
135	M00247_2.00	Wt1
136	M00248_2.00	Wt1
137	M00249_2.00	Wt1
138	M00253_2.00	Foxc1;Foxc2;Foxd1;Foxd2;Foxd3;Foxd4;Foxe1;Foxf1;Foxf2;Foxg1;Foxi1;Foxi3;Foxk2;Foxl1;Foxl2;Foxp4;Foxs1;Gm5294
139	M00254_2.00	Foxc1;Foxc2;Foxd1;Foxd2;Foxd3;Foxd4;Foxe1;Foxf1;Foxf2;Foxg1;Foxi1;Foxi3;Foxk2;Foxl1;Foxl2;Foxs1;Gm5294
140	M00255_2.00	Foxc1;Foxc2;Foxd1;Foxd2;Foxd3;Foxd4;Foxe1;Foxf1;Foxf2;Foxg1;Foxi1;Foxi3;Foxk2;Foxl1;Foxl2;Foxp4;Foxs1;Gm5294
141	M00256_2.00	Foxc1;Foxc2;Foxd1;Foxd2;Foxd3;Foxd4;Foxe1;Foxf1;Foxf2;Foxg1;Foxi1;Foxi3;Foxk2;Foxl1;Foxl2;Foxp4;Foxs1;Gm5294
142	M00257_2.00	Foxc1;Foxc2;Foxd1;Foxd2;Foxd3;Foxd4;Foxe1;Foxf1;Foxf2;Foxg1;Foxi1;Foxi3;Foxk2;Foxl1;Foxl2;Foxp4;Foxs1;Gm5294
143	M00258_2.00	Foxc1;Foxc2;Foxd1;Foxd2;Foxd3;Foxd4;Foxe1;Foxf1;Foxf2;Foxg1;Foxi1;Foxi3;Foxk2;Foxl1;Foxl2;Foxp4;Foxs1;Gm5294
