	Motif_ID	TF_Names
326	M00793_2.00	Foxp1;Foxp3;Foxp4
327	M00794_2.00	Foxo4
328	M00795_2.00	Foxo1
329	M00796_2.00	Foxc2
330	M00797_2.00	Foxo3
331	M00798_2.00	Foxo6
332	M00799_2.00	Gata4
333	M00800_2.00	Nkx2-9
334	M00801_2.00	Pou1f1
335	M00802_2.00	Pou1f1
336	M00803_2.00	Pou2f1
337	M00804_2.00	Pou3f1
338	M00805_2.00	Irf2
339	M00806_2.00	Mecp2
340	M00807_2.00	Mybl2
341	M00808_2.00	Mypop
342	M00809_2.00	Prdm11
343	M00810_2.00	Rarg
344	M00811_2.00	Nr2f6
345	M00812_2.00	Nr2c1
346	M00813_2.00	Esr1
347	M00814_2.00	Nr2e1
348	M00815_2.00	Esrrb
349	M00816_2.00	Nr5a2
350	M00817_2.00	Esrrg
351	M00818_2.00	Nr4a2;Nr4a3
352	M00819_2.00	Rora
353	M00820_2.00	Rorb
354	M00821_2.00	Ar
355	M00822_2.00	Nr2f1
356	M00823_2.00	Rfx7
357	M00824_2.00	Gmeb2
358	M00825_2.00	XP_001473574.2
359	M00826_2.00	Sox10
360	M00827_2.00	Sox3
361	M00828_2.00	Sox6
362	M00829_2.00	Sox14
363	M00830_2.00	Tbx2
364	M00831_2.00	Tbx4
365	M00832_2.00	Tbx1;Tbx10
366	M00833_2.00	Tbx5
367	M00834_2.00	Tbx3
368	M00835_2.00	Tbx20
369	M00989_2.00	Cebpd
370	M00990_2.00	Cebpd
371	M00991_2.00	Creb1
372	M00992_2.00	Creb1
373	M00993_2.00	Cebpa
374	M00994_2.00	Cebpa
375	M00995_2.00	Jun
376	M00996_2.00	Cebpg
377	M00997_2.00	Cebpg
378	M00998_2.00	Cebpb
379	M00999_2.00	Cebpb
380	M01000_2.00	Jund
381	M01001_2.00	Jund
382	M01007_2.00	Foxn2
383	M01009_2.00	Foxm1
384	M01010_2.00	Foxn1
385	M01011_2.00	Foxn4
386	M01022_2.00	Gli3
387	M01023_2.00	Gli1
388	M01024_2.00	Gli2
389	M01028_2.00	Tbr1
390	M01165_2.00	Zscan29
391	M01172_2.00	ENSMUSG00000098546;Vezf1
392	M01174_2.00	Osr1
393	M01206_2.00	Jrkl;Tigd2
394	M01210_2.00	Cxxc4;Cxxc5;Tet3
395	M01211_2.00	Dmrta1
396	M01227_2.00	Foxn3
397	M01259_2.00	Msantd3
398	M01260_2.00	Naif1
399	M01272_2.00	Zzz3
400	M01297_2.00	Esr2
401	M01304_2.00	Lcorl
402	M01307_2.00	Runx2
403	M01475_2.00	Spi1
404	M01476_2.00	Elf3
405	M01477_2.00	Etv3
406	M01478_2.00	Etv1
407	M01479_2.00	Etv1
408	M01480_2.00	Spic
409	M01481_2.00	Elk3
410	M01482_2.00	Gabpa
411	M01483_2.00	Elk1
412	M01484_2.00	Ehf
413	M01485_2.00	Etv5
414	M01486_2.00	Fli1
415	M01487_2.00	Etv4
416	M01488_2.00	Spdef
417	M01489_2.00	Elk4
