	Motif_ID	TF_Names
158	M00305_2.00	Emx1::Gsx1::Hesx1::Hmx3::Hoxb1::Hoxb2::Hoxd4
159	M00306_2.00	Hesx1::Hoxb2::Lbx1::Prrxl1
160	M00307_2.00	Emx1::Hesx1::Hoxb2::Lbx1::Prrxl1
161	M00308_2.00	Emx1::Hesx1::Hoxb2::Lbx1::Prrxl1
162	M00309_2.00	Emx1::Hesx1::Hoxb2::Lbx1::Prrxl1
163	M00310_2.00	Gsc2
164	M00311_2.00	Gsc2
165	M00312_2.00	Gsc2
166	M00313_2.00	Gsc2
167	M00314_2.00	Gsc2
168	M00315_2.00	Dlx6::Emx1::Gsx1::Hesx1::Hoxb1::Hoxb2::Lbx1::Prrxl1
169	M00316_2.00	Emx1::Gsx1::Hesx1::Hoxb2::Lbx1::Prrxl1
170	M00317_2.00	Dlx6::Emx1::Gsx1::Hesx1::Hoxb1::Hoxb2::Lbx1::Prrxl1
171	M00318_2.00	Gsx1::Hesx1::Hoxb1::Hoxd4::Prrxl1
172	M00319_2.00	Dlx6::Gsx1::Hesx1::Hoxb1::Hoxb2::Hoxd4::Prrxl1
173	M00328_2.00	Emx1::Gsx1::Hesx1::Hmx3::Hoxb1::Hoxb2::Hoxd4
174	M00329_2.00	Emx1::Gsx1::Hesx1::Hmx3::Hoxb1::Hoxb2::Hoxd4
175	M00330_2.00	Emx1::Gsx1::Hesx1::Hmx3::Hoxb1::Hoxb2::Hoxd4
176	M00331_2.00	Hoxd4
177	M00333_2.00	Hoxd4
178	M00334_2.00	Hoxd4
179	M00345_2.00	Pax1::Pax8::Pax9
180	M00346_2.00	Pax1::Pax8::Pax9
181	M00352_2.00	Pax3
182	M00353_2.00	Pax3
183	M00354_2.00	Pax3
184	M00355_2.00	Pax3
185	M00356_2.00	Pax3
186	M00357_2.00	Pax3
187	M00358_2.00	Pax3
188	M00359_2.00	Pax3
189	M00363_2.00	Pou6f2
190	M00367_2.00	Nr1h5
191	M00368_2.00	Nr1h5
192	M00375_2.00	Egr1::Egr4
193	M00379_2.00	Cux1
194	M00380_2.00	Emx1::Hesx1::Lhx2::Prrxl1
195	M00381_2.00	Hoxb6::Hoxd4
196	M00382_2.00	Hoxa10::Hoxd12
197	M00383_2.00	Emx1::Gsx1::Hesx1::Hmx3::Hoxa4::Hoxb1::Hoxb2::Hoxd4
198	M00384_2.00	Dlx6::Emx1::Gsx1::Hmx3::Hoxb1::Hoxb2::Hoxd4::Lbx1::Meox1::Prrxl1
199	M00385_2.00	Nkx2-1
200	M00386_2.00	Irx2
201	M00387_2.00	Dlx3::Dlx6::Gsx1::Hoxb1::Hoxb2::Prrxl1
